S.No,Item name,Brand_Name,Category,Sub_Category,Matched_Ingredients,Matched_Categories,Matched_Severities
84,Palekar Makkhan Rusk,PALEKAR,BISCUIT,RUSK,SUGAR; INVERT SYRUP; REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,added_sugar; hidden_sugar; refined_carb; sodium_source,medium; medium; medium; low
85,Palekar Jaggery Toasted Buns,PALEKAR,BISCUIT,TOASTED BUN,REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,refined_carb; sodium_source,medium; low
86,Britannia Treat Orange Creme Sandwich Biscuits,BRITANNIA,BISCUIT,CREAME,INVERT SUGAR SYRUP; DEXTROSE; REFINED PALM OIL; ACIDITY REGULATOR (330); EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; acidity_regulator; emulsifier; raising_agent; raising_agent; allergen; refined_carb; refined_carb; sodium_source,medium; medium; medium; low; low; low; low; low; medium; low; low
87,Britannia Marie Gold Biscuits Plain,BRITANNIA,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; low; low; low; medium; low
88,Britannia Vita Butter Marie Gold Biscuits,BRITANNIA,BISCUIT,BISCUIT,INVERT SUGAR SYRUP; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; low; low; low; medium; low; medium; low
89,Britannia Pure Magic Chocolush Choco Filled Cookie,BRITANNIA,BISCUIT,CHOCO FILLS,LIQUID GLUCOSE; INVERT SUGAR SYRUP; REFINED PALMOLEIN OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; saturated_fat_source; emulsifier; raising_agent; raising_agent; allergen; refined_carb; sodium_source,medium; medium; medium; low; low; low; low; medium; low
90,Britannia 5050 Maska Chaska Biscuit,BRITANNIA,BISCUIT,CRACKER,SUGAR; LIQUID GLUCOSE; RAISING AGENTS 500(II); RAISING AGENTS 503(II); MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT; BLACK SALT,added_sugar; hidden_sugar; raising_agent; raising_agent; allergen; refined_carb; sodium_source; sodium_source,medium; medium; low; low; low; medium; low; low
91,Britannia Biscafe Refreshing Super Thin Coffee Cracker,BRITANNIA,BISCUIT,CRACKER,SUGAR; LIQUID GLUCOSE; EMULSIFIERS 471; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; IODISED SALT,added_sugar; hidden_sugar; emulsifier; allergen; refined_carb; refined_carb; sodium_source,medium; medium; low; low; medium; low; low
92,Britannia Toastea Milk Rusk,BRITANNIA,BISCUIT,RUSK,SUGAR; REFINED PALM OIL; EMULSIFIERS 471; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; saturated_fat_source; emulsifier; allergen; refined_carb; sodium_source,medium; medium; low; low; medium; low
93,Britannia Good Day ChocoChip Cookies,BRITANNIA,BISCUIT,COOKIES,INVERT SUGAR SYRUP; DEXTROSE; HYDROGENATED VEGETABLE FAT; REFINED PALM OIL; EMULSIFIERS 471; RAISING AGENTS 500(II); RAISING AGENTS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; emulsifier; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; high; medium; low; low; low; medium; low; medium; low
94,Sunfeast Glucose Plus,SUNFEAST,BISCUIT,BISCUIT,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; medium; low; low; medium; low; medium; low
95,Sunfeast Dark Fantasy Crème,SUNFEAST,BISCUIT,CREAME,SUGAR; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; REFINED WHEAT FLOUR; IODISED SALT,added_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; refined_carb; sodium_source,medium; medium; high; medium; medium; low
96,Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake,SUNFEAST,BISCUIT,PIE,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; PALM OIL; ACIDITY REGULATOR (INS 330); HYDROLYSED VEGETABLE PROTEIN; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; acidity_regulator; msg_source; allergen; refined_carb; sodium_source,medium; medium; medium; high; medium; low; medium; low; medium; low
97,Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour,SUNFEAST,BISCUIT,CRACKER,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); STARCH; LODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; refined_carb; refined_carb; sodium_source,medium; medium; medium; medium; low; low; medium; low; medium; low; low
98,Sunfeats Dark Fantasy Desserts Choconut Dipped Filled Cookie Reimaged,SUNFEAST,BISCUIT,CHOCO FILLS,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); LODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; high; medium; medium; low; medium; low
99,"Sunfeast Marie Light Active, Marie Biscuits with Iron and 6 Vitamins Family Pack",SUNFEAST,BISCUIT,BISCUIT,SUGAR; INVERT SYRUP; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); NATURE IDENTICAL FLAVOURING SUBSTANCES; ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; REFINED WHEAT FLOUR (MAIDA); IODIZED SALT,added_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; artificial_flavoring; allergen; refined_carb; sodium_source,medium; medium; medium; low; low; medium; medium; low; medium; low
100,"Sunfeast Dark Fantasy VANILLA CAKE Creme, Dark Crunchy Biscuit with Smooth VANILLA CAKE Creme",SUNFEAST,BISCUIT,CREAME,SUGAR; INVERT SYRUP; HYDROGENATED VEGETABLE OIL; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); REFINED WHEAT FLOUR (MAIDA); IODISED SALT,added_sugar; hidden_sugar; trans_fat_source; saturated_fat_source; raising_agent; raising_agent; refined_carb; sodium_source,medium; medium; high; medium; low; low; medium; low
101,Sunfeast Farmlite Oats & Almonds Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; MALTODEXTRIN; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; sodium_source,medium; medium; medium; medium; medium; low; low; medium; low; low
102,Sunfeast Farmlite Oats & Chocolate Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; DEXTROSE; MALTODEXTRIN; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; sodium_source,medium; medium; medium; medium; medium; medium; low; low; medium; low
103,Sunfeast Farmlite Oats & Raisins Cookies,SUNFEAST,BISCUIT,COOKIES,SUGAR; LIQUID GLUCOSE; INVERT SYRUP; MALTODEXTRIN; REFINED PALM OIL; RAISING AGENTS INS 500(II); RAISING AGENTS INS 503(II); ARTIFICIAL FLAVOURING SUBSTANCES VANILLA CAKE; MILK SOLIDS; IODIZED SALT,added_sugar; hidden_sugar; hidden_sugar; hidden_sugar; saturated_fat_source; raising_agent; raising_agent; artificial_flavoring; allergen; sodium_source,medium; medium; medium; medium; medium; low; low; medium; low; low
104,Frooti Mango Fruit Juice,FROOTI,JUICE,FRUIT BEVERAGE,SUGAR; PRESERVATIVE (INS 211); ANTIOXIDANT (INS 300),added_sugar; preservative; antioxidant,medium; medium; low
105,Paper Boat Lychee Fruit Juice,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
106,Yu Berry Blast 100% Fruit Juice With Berry Pieces,YU FOODS,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
107,Raw Pressery Valencia Orange Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,ANTIOXIDANT (INS 300),antioxidant,low
108,Boba Bhai Pina Colada with Popping Bubbles & Nata de Coco,BOBA BHAI,JUICE,BUBBLE TEA,SUGAR; CITRIC ACID,added_sugar; acidity_regulator,medium; low
109,Maaza Mango Fruit Juice,MAAZA,JUICE,FRUIT BEVERAGE,SUGAR; ANTIOXIDANT (INS 300),added_sugar; antioxidant,medium; low
110,Paper Boat Swing Pomegranate Fruit Juice,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (330); IODISED SALT,added_sugar; acidity_regulator; sodium_source,medium; low; low
111,Bloody Bubbly Cream Soda,BLOODY BUBBLY,JUICE,CREAME SODA,SUGAR; CITRIC ACID,added_sugar; acidity_regulator,medium; low
112,Paper Boat Mango,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR; IODISED SALT,added_sugar; sodium_source,medium; low
113,Coca-Cola Zero Sugar Soft Drink,COKE ZERO,JUICE,SODA,,,
114,Bloody Bubbly Litchi Soda,BLOODY BUBBLY,JUICE,SODA,SUGAR; CITRIC ACID,added_sugar; acidity_regulator,medium; low
115,Paper Boat Swing Lychee Fruit Juice,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (330),added_sugar; acidity_regulator,medium; low
116,Mogu Mogu Imported Lychee Fruit Juice,MOGU MOGU,JUICE,FRUIT BEVERAGE,INVERT SUGAR,hidden_sugar,medium
117,Bloody Bubbly Lemon Soda,BLOODY BUBBLY,JUICE,SODA,SUGAR; CITRIC ACID,added_sugar; acidity_regulator,medium; low
118,Paper Boat Orange Juice,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR; IODISED SALT,added_sugar; sodium_source,medium; low
119,"B Natural Mixed Fruit Juice, 100% Pulp",BE NATURAL,JUICE,FRUIT BEVERAGE,SUGAR; DEXTROSE; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300),added_sugar; hidden_sugar; acidity_regulator; antioxidant,medium; medium; low; low
120,Dabur Fruit Power Mixed Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; antioxidant; artificial_flavoring,medium; low; low; medium
121,Slice Mango Drink,SLICE,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (330); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; artificial_flavoring,medium; low; medium
122,Paper Boat Swing Guava Fruit Juice,PAPER BOAT,JUICE,FRUIT BEVERAGE,SUGAR; IODISED SALT,added_sugar; sodium_source,medium; low
123,Dabur Real Fruit Power Masala Mixed Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES; LODIZED SALT; BLACK SALT,added_sugar; acidity_regulator; antioxidant; artificial_flavoring; sodium_source; sodium_source,medium; low; low; medium; low; low
124,Dabur Real Alphonso Mango Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300),added_sugar; acidity_regulator; antioxidant,medium; low; low
125,Dabur Real Masala Pomegranate Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES; IODIZED SALT,added_sugar; acidity_regulator; antioxidant; artificial_flavoring; sodium_source,medium; low; low; medium; low
126,Dabur Real Cranberry Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,ACIDITY REGULATOR (INS 330); NATURE IDENTICAL FLAVOURING SUBSTANCES,acidity_regulator; artificial_flavoring,low; medium
127,Mogu Mogu Strawberry Fruit Juice,MOGU MOGU,JUICE,FRUIT BEVERAGE,INVERT SUGAR,hidden_sugar,medium
128,Raw Pressery Refreshers Pineapple Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330),added_sugar; acidity_regulator,medium; low
129,Dabur Real Activ Orange Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,,,
130,Dabur Real Fruit Power Guava Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES; IODISED SALT,added_sugar; acidity_regulator; antioxidant; artificial_flavoring; sodium_source,medium; low; low; medium; low
131,Tropicana Delight Guava Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (330); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; artificial_flavoring,medium; low; medium
132,Tropicana Delight Mixed Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (330); NATURE IDENTICAL FLAVOURING SUBSTANCES; IODISED SALT,added_sugar; acidity_regulator; artificial_flavoring; sodium_source,medium; low; medium; low
133,"B Natural Apple Juice, 100% Pulp",BE NATURAL,JUICE,FRUIT BEVERAGE,SUGAR; DEXTROSE; NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; hidden_sugar; artificial_flavoring,medium; medium; medium
134,Dabur Real Activ Mixed Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300),added_sugar; acidity_regulator; antioxidant,medium; low; low
135,Dabur Real Activ Apple Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,ANTIOXIDANT (INS 300),antioxidant,low
136,Dabur Real Litchi Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; antioxidant; artificial_flavoring,medium; low; medium
137,Dabur Real Fruit Power Pineapple Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; antioxidant; artificial_flavoring,medium; low; low; medium
138,Dabur Real Pomegranate Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; LIQUID GLUCOSE; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); IODISED SALT,added_sugar; hidden_sugar; acidity_regulator; antioxidant; sodium_source,medium; medium; low; low; low
139,Raw Pressery Refreshers Sugarcane Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
140,Dabur Real Mosambi Fruit Juice,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300),added_sugar; acidity_regulator; antioxidant,medium; low; low
141,Raw Pressery Alphonso Mango Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,,,
142,Tropicana Delight Cranberry Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
143,Storia Pomegranate Fruit Juice,STORIA,JUICE,FRUIT BEVERAGE,ANTIOXIDANT (INS 300),antioxidant,low
144,Raw Pressery Valencia Orange Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,ANTIOXIDANT (INS 300),antioxidant,low
145,Raw Pressery Refreshers Cranberry Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
146,Rani Imported Orange and Carrot Fruit Juice,RANI,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
147,Raw Pressery Pomegranate Fruit Juice,RAW PRESSERY,JUICE,FRUIT BEVERAGE,ANTIOXIDANT (INS 300),antioxidant,low
148,No filter 100% juice cranberry,NO FILTER,JUICE,FRUIT BEVERAGE,,,
149,No filter 100% juice orange,NO FILTER,JUICE,FRUIT BEVERAGE,,,
150,No filter 100% juice mango,NO FILTER,JUICE,FRUIT BEVERAGE,,,
151,No filter 100% juice strawberry,NO FILTER,JUICE,FRUIT BEVERAGE,,,
152,No filter 100% juice lychee,NO FILTER,JUICE,FRUIT BEVERAGE,,,
153,Pokka Ready To Drink Carrot Juice,POKKA,JUICE,FRUIT BEVERAGE,CITRIC ACID,acidity_regulator,low
154,RIO Blueberry Peach Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,SUGAR; PRESERVATIVE (INS 211),added_sugar; preservative,medium; medium
155,RIO Acai Berry & Mixed Berry Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,SUGAR,added_sugar,medium
156,RIO WildBerry Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,SUGAR; PRESERVATIVE (INS 211),added_sugar; preservative,medium; medium
157,RIO Pink Guava Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,SUGAR; PRESERVATIVE (INS 211),added_sugar; preservative,medium; medium
158,Appy Fizz Apple Soft Drink,APPY,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); ANTIOXIDANT (INS 300),added_sugar; preservative; antioxidant,medium; medium; low
159,Paper Boat Aamras Drink,PAPER BOAT,JUICE,FRUIT BEVERAGE,,,
160,Dabur Real Mango Drink,DABUR REAL,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); ANTIOXIDANT (INS 300); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; antioxidant; artificial_flavoring,medium; low; low; medium
161,Del Monte Green Apple Fruit Drink Crisp,DEL MONTE,JUICE,FRUIT BEVERAGE,SUGAR; IODIZED SALT,added_sugar; sodium_source,medium; low
162,Raw Pressery Refreshers Aam Mango Drink,RAW PRESSERY,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330),added_sugar; acidity_regulator,medium; low
163,B Natural Guava,BE NATURAL,JUICE,FRUIT BEVERAGE,LODIZED SALT,sodium_source,low
164,Alo Frut Litchi,ALOFRUT,JUICE,FRUIT BEVERAGE,SUGAR; ACIDITY REGULATOR (INS 330); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; artificial_flavoring,medium; low; medium
165,Bindu Fizz Jeera Masala Soft Drink,BINDU,JUICE,SODA,SUGAR; ACIDITY REGULATOR (INS 330); PRESERVATIVE (INS 211); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; preservative; artificial_flavoring,medium; low; medium; medium
166,Fanta Orange Flavoured Soft Drink,FANTA,JUICE,SODA,SUGAR; ACIDITY REGULATOR (INS 330); PRESERVATIVE (INS 211),added_sugar; acidity_regulator; preservative,medium; low; medium
167,Bombay Banta Lemon Soda Soft Drink,BOMBAY BANTA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); BLACK SALT,added_sugar; preservative; sodium_source,medium; medium; low
168,Bombay Banta Kala Khatta Soft Drink,BOMBAY BANTA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); BLACK SALT,added_sugar; preservative; sodium_source,medium; medium; low
169,Thums Up X Force,THUMS UP,JUICE,SODA,,,
170,Bombay Banta Masala Soda Soft Drink,BOMBAY BANTA,JUICE,SODA,SUGAR; ACIDITY REGULATOR (INS 330); CITRIC ACID; PRESERVATIVE (INS 211); NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; acidity_regulator; acidity_regulator; preservative; artificial_flavoring,medium; low; low; medium; medium
171,Paper Boat Swing Jeera Soft Drink,PAPER BOAT,JUICE,SODA,SUGAR; CITRIC ACID; PRESERVATIVE (INS 211); NATURE IDENTICAL FLAVOURING SUBSTANCES; IODISED SALT,added_sugar; acidity_regulator; preservative; artificial_flavoring; sodium_source,medium; low; medium; medium; low
172,Aloha Strawberry and Lime Flavoured Soft Drink,ALOHA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); ANTIOXIDANT (INS 300),added_sugar; preservative; antioxidant,medium; medium; low
173,Aloha Peach Flavoured Soft Drink,ALOHA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); ANTIOXIDANT (INS 300),added_sugar; preservative; antioxidant,medium; medium; low
174,Aloha Pudina Masala Soft Drink,ALOHA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211); ANTIOXIDANT (INS 300),added_sugar; preservative; antioxidant,medium; medium; low
175,NEOPOP Mango Bliss Can,NEOPOP,JUICE,SODA,SUGAR; ACIDITY REGULATOR (INS 330); PRESERVATIVE (INS 211),added_sugar; acidity_regulator; preservative,medium; low; medium
176,NEOPOP Lemon Squeeze Can,NEOPOP,JUICE,SODA,SUGAR; ACIDITY REGULATOR (330),added_sugar; acidity_regulator,medium; low
177,NEOPOP Orange Splash Can,NEOPOP,JUICE,SODA,SUGAR; ACIDITY REGULATOR (330),added_sugar; acidity_regulator,medium; low
178,Monster-S The Doctor Imported Energy Drink,MONSTER-S,JUICE,SODA,MALTODEXTRIN; GLUCOSE SYRUP; CITRIC ACID,hidden_sugar; hidden_sugar; acidity_regulator,medium; medium; low
179,Dr Pepper Sparkling Fruit Flavour Soft Drink,DR PEPPER,JUICE,SODA,SUGAR,added_sugar,medium
180,Bisleri Limonata Lemon and Mint Soft Drink,BISLERI,JUICE,SODA,SUGAR,added_sugar,medium
181,Limca Lemon Soft Drink,LIMCA,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211),added_sugar; preservative,medium; medium
182,Dabur Hommade Lemon Concentrated Liquid,DABUR HOMMAD,JUICE,FRUIT BEVERAGE,,,
183,Sprite Lemon and Lime Soft Drink,SPRITE,JUICE,SODA,SUGAR; PRESERVATIVE (INS 211),added_sugar; preservative,medium; medium
184,7 Up Lemon Soft Drink,7 UP,JUICE,SODA,SUGAR,added_sugar,medium
185,7UP Nimbooz Soft Drink,7 UP NIMBOOZ,JUICE,SODA,SUGAR; IODISED SALT,added_sugar; sodium_source,medium; low
186,Mountain Dew Lemon Soft Drink,MOUMTAIN DEW,JUICE,SODA,SUGAR,added_sugar,medium
187,Pluckk Natural Tender Coconut Water With Real Malai Chunks,PLUCKK,JUICE,COCONUT WATER,,,
188,Paper Boat Tender Coconut Water,PAPER BOAT,JUICE,COCONUT WATER,SUGAR,added_sugar,medium
189,Mirinda Orange Flavoured Soft Drink,MIRINDA,JUICE,SODA,SUGAR,added_sugar,medium
190,Sting Energy Drink,STING,JUICE,SODA,SUGAR; NATURE IDENTICAL FLAVOURING SUBSTANCES,added_sugar; artificial_flavoring,medium; medium
191,Red Bull Energy Drink,RED BULL,JUICE,SODA,CITRIC ACID,acidity_regulator,low
192,Gatorade Blue Bolt Zero Sugar Energy Drink,GATORADE,JUICE,SODA,SUGAR; DEXTROSE; ACIDITY REGULATOR (330),added_sugar; hidden_sugar; acidity_regulator,medium; medium; low
193,Gatorade Orange Zero Sugar Energy Drink,GATORADE,JUICE,SODA,SUGAR; DEXTROSE; ACIDITY REGULATOR (INS 330),added_sugar; hidden_sugar; acidity_regulator,medium; medium; low
194,Gatorade Lemon Zero Sugar Energy Drink,GATORADE,JUICE,SODA,DEXTROSE; ACIDITY REGULATOR (330),hidden_sugar; acidity_regulator,medium; low
195,Smoodh Chocolate Milk Drink,SMOODH,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS; IODISED SALT,added_sugar; allergen; sodium_source,medium; low; low
196,Smoodh Chocolate and Hazelnut Milk Drink,SMOODH,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS; IODISED SALT,added_sugar; allergen; sodium_source,medium; low; low
197,Smoodh Toffee Caramel Milk,SMOODH,JUICE,MILKSHAKE,SUGAR; DEXTROSE; MILK SOLIDS; IODISED SALT,added_sugar; hidden_sugar; allergen; sodium_source,medium; medium; low; low
198,Hershey's Chocolate Milkshake,HERSHEYS,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS; EDIBLE COMMON SALT,added_sugar; allergen; sodium_source,medium; low; low
199,Hershey's Cookies and Cream Milkshake,HERSHEYS,JUICE,MILKSHAKE,SUGAR,added_sugar,medium
200,Hershey's Strawberry Milkshake,HERSHEYS,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS; EDIBLE COMMON SALT,added_sugar; allergen; sodium_source,medium; low; low
201,Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate,SUNFEAST,JUICE,MILKSHAKE,SUGAR; PALM OIL; NATURE IDENTICAL FLAVOURING SUBSTANCES; MILK SOLIDS; LODIZED SALT,added_sugar; saturated_fat_source; artificial_flavoring; allergen; sodium_source,medium; medium; medium; low; low
202,Creambell Choco Milkshake,CREAMBELL MILKSHAKE,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS,added_sugar; allergen,medium; low
203,Creambell Coffee Milkshake,CREAMBELL MILKSHAKE,JUICE,MILKSHAKE,SUGAR; MILK SOLIDS,added_sugar; allergen,medium; low
204,Epigamia Turbo VANILLA CAKE and Caramel Protein Milkshake,EPIGAMIA,JUICE,MILKSHAKE,MILK SOLIDS; EDIBLE COMMON SALT,allergen; sodium_source,low; low
205,Phab 18g Protein Mango Magic Milkshake,PHAB,JUICE,MILKSHAKE,EMULSIFIER (INS 471); MILK SOLIDS,emulsifier; allergen,low; low
206,Heritage Chocolate and Caramel Milkshake,HERITAGE,JUICE,MILKSHAKE,SUGAR,added_sugar,medium
